Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
0,22,1,40.0,0,0,1,25455.0,152.0,203,0
1,26,1,8.0,1,0,0,38393.0,26.0,45,0
1,32,1,28.0,0,0,1,32118.0,122.0,35,1
0,32,1,37.0,0,0,1,37711.0,152.0,215,0
1,24,1,28.0,0,0,1,48706.0,156.0,222,0
0,47,1,1.0,1,1,0,2630.0,26.0,65,0
1,77,1,28.0,0,1,1,41623.0,13.0,226,0
0,23,1,12.0,1,0,0,29881.0,151.0,39,0
0,23,1,13.0,1,0,0,35126.0,160.0,90,0
1,71,1,28.0,0,1,1,72963.0,124.0,120,0
0,25,1,6.0,1,0,0,18750.0,152.0,250,0
0,76,0,50.0,0,1,1,31120.0,124.0,68,0
0,28,1,8.0,1,0,0,58292.0,152.0,92,0
0,53,1,43.0,0,1,1,22350.0,26.0,208,0
0,22,1,25.0,1,0,0,29871.0,160.0,275,0
0,64,1,50.0,0,1,1,41160.0,8.0,270,0
1,37,1,28.0,0,1,1,32147.0,124.0,55,1
1,38,1,48.0,1,1,0,2630.0,15.0,52,0
0,44,1,28.0,0,1,1,2630.0,26.0,30,0
0,80,1,28.0,0,1,0,50406.0,26.0,259,0
0,61,1,24.0,0,1,1,37661.0,26.0,293,0
0,23,1,28.0,1,0,0,45138.0,152.0,43,0
0,61,1,17.0,1,1,0,2630.0,26.0,172,0
1,25,1,39.0,1,0,0,36983.0,152.0,82,0
0,79,1,13.0,1,1,0,26927.0,124.0,264,0
1,21,1,28.0,0,1,1,45413.0,156.0,152,0
0,24,1,8.0,1,0,0,28722.0,152.0,175,0
1,23,1,36.0,1,0,0,34363.0,152.0,248,0
1,21,1,11.0,1,0,0,29225.0,152.0,249,0
0,54,1,29.0,0,2,1,34437.0,124.0,123,0
0,73,1,28.0,0,1,1,32868.0,24.0,299,0
1,51,1,35.0,0,1,1,33678.0,124.0,211,1
1,23,1,46.0,1,0,0,26963.0,152.0,247,0
0,61,1,28.0,1,1,0,2630.0,122.0,283,0
1,22,1,41.0,1,0,0,31121.0,152.0,193,0
1,39,1,28.0,1,1,0,30219.0,29.0,156,0
0,21,1,11.0,0,0,1,28965.0,163.0,124,0
1,32,1,8.0,0,0,1,40160.0,152.0,199,0
0,25,1,45.0,1,0,0,26116.0,26.0,89,0
0,45,1,8.0,0,1,1,32312.0,26.0,106,0
0,76,1,28.0,0,1,0,41996.0,125.0,197,0
0,52,1,28.0,0,2,1,2630.0,157.0,298,0
0,25,1,41.0,1,0,0,23511.0,152.0,130,0
1,58,1,28.0,0,1,1,51937.0,26.0,253,0
0,36,1,41.0,0,1,1,29066.0,124.0,233,0
1,53,1,28.0,0,1,1,26636.0,13.0,255,0
0,21,1,3.0,1,0,0,35849.0,160.0,196,0
1,22,1,15.0,1,0,0,27488.0,152.0,29,0
1,22,1,12.0,1,0,0,27515.0,152.0,169,0
1,41,1,28.0,1,1,0,58490.0,124.0,31,0
1,48,1,36.0,0,1,0,33304.0,152.0,21,0
0,61,1,11.0,0,1,1,31180.0,154.0,159,0
0,46,1,28.0,0,2,1,43501.0,26.0,127,0
1,22,1,8.0,1,0,0,59733.0,160.0,59,0
0,31,1,12.0,0,1,1,2630.0,156.0,162,1
0,42,1,50.0,1,1,0,51213.0,8.0,238,0
0,31,1,38.0,1,1,0,29122.0,124.0,164,0
0,41,1,28.0,0,1,1,51568.0,26.0,216,0
0,23,1,41.0,0,0,1,28795.0,152.0,57,0
0,33,1,29.0,0,0,1,35037.0,157.0,97,0
0,26,1,28.0,1,0,0,37258.0,152.0,223,0
0,56,1,28.0,0,2,1,2630.0,156.0,79,0
1,27,1,21.0,1,0,0,27343.0,152.0,182,0
1,24,1,47.0,1,0,0,28218.0,152.0,90,0
0,27,1,28.0,1,0,0,72963.0,152.0,211,0
1,40,1,28.0,0,1,0,2630.0,125.0,137,0
1,44,1,8.0,0,1,1,72963.0,124.0,201,1
0,24,1,30.0,1,0,0,33196.0,152.0,92,0
0,42,1,29.0,0,1,0,2630.0,156.0,212,0
1,42,1,24.0,1,1,0,2630.0,26.0,230,0
0,43,1,28.0,0,1,1,57345.0,26.0,266,1
1,28,1,25.0,0,0,1,29127.0,152.0,194,0
0,24,1,46.0,1,0,0,42333.0,152.0,196,0
1,61,1,28.0,0,1,1,44570.0,26.0,288,0
0,32,1,18.0,1,0,0,27289.0,152.0,122,0
0,30,1,29.0,0,1,1,33031.0,157.0,48,0
0,60,1,28.0,0,1,1,2630.0,124.0,107,0
1,42,1,17.0,1,0,0,2630.0,1.0,87,0
1,24,1,28.0,0,0,1,26634.0,151.0,86,1
1,54,1,28.0,0,1,1,27977.0,26.0,219,1
0,25,1,29.0,1,0,0,25332.0,151.0,138,0
1,25,1,11.0,1,0,0,24397.0,152.0,141,0
1,57,1,28.0,0,1,1,27980.0,26.0,212,1
1,60,1,28.0,0,1,1,57216.0,13.0,29,0
0,51,1,28.0,0,1,1,40562.0,124.0,151,1
0,35,1,38.0,1,1,0,2630.0,154.0,146,0
0,45,1,28.0,1,1,0,29265.0,26.0,57,0
1,53,1,8.0,0,1,1,43966.0,26.0,225,0
1,37,1,39.0,0,1,1,30112.0,124.0,23,0
0,31,1,39.0,1,0,0,25997.0,152.0,145,0
1,58,1,39.0,0,1,1,2630.0,26.0,17,0
0,48,1,14.0,0,1,1,29724.0,124.0,162,0
1,24,1,10.0,1,0,0,26973.0,152.0,202,0
1,43,1,8.0,0,1,1,35720.0,124.0,282,0
0,21,1,13.0,0,0,0,22102.0,160.0,180,0
0,47,1,8.0,0,1,1,40924.0,26.0,74,0
0,35,1,39.0,0,1,1,30264.0,124.0,205,0
1,42,1,15.0,0,1,1,34102.0,124.0,223,0
0,47,1,46.0,0,1,1,27856.0,124.0,249,0
1,46,1,28.0,0,2,1,2630.0,124.0,81,1
0,26,1,30.0,0,0,0,2630.0,160.0,32,0
1,60,1,28.0,0,1,1,43923.0,61.0,170,0
0,39,1,28.0,0,1,0,26152.0,26.0,59,0
1,59,1,28.0,0,1,1,27782.0,124.0,264,1
0,25,1,8.0,1,0,0,2630.0,160.0,86,0
