Variable,Random Forest,XGBoost,LightGBM,Media
Vintage,0.02014296676217552,0.0017836536,1966,655.3406422067968
Age,0.1001809551605044,0.0072569638,1768,589.3691459729722
Annual_Premium,0.02120778286070259,0.001980501,1764,588.0077294279516
Region_Code,0.02039737935295476,0.0028055871,1479,493.00773432216334
Policy_Sales_Channel,0.0543499596732025,0.004655575,1179,393.01966851152906
Vehicle_Age,0.0580744663821492,0.004220534,266,88.68743166683272
Gender,0.0038034829744950675,0.0024335457,200,66.66874567620971
Vehicle_Damage,0.42313671503491546,0.41556382,199,66.61290017894251
Previously_Insured,0.2979495736822294,0.5547747,111,37.28424142509251
Driving_License,0.0007567181166710557,0.004525189,34,11.335093968979656
